GEOID	cases	deaths
26001	4	0
26005	50	0
26007	38	1
26009	9	0
26011	13	1
26013	1	0
26015	28	1
26017	93	2
26019	4	0
26021	177	11
26023	43	2
26025	168	5
26027	23	1
26029	12	1
26031	14	1
26033	2	1
26035	10	1
26037	106	7
26039	32	2
26041	13	2
26043	3	2
26045	104	5
26047	22	2
26049	1362	138
26051	10	1
26053	4	1
26055	19	5
26057	8	1
26059	97	12
26061	2	0
26063	10	1
26065	350	7
26067	27	2
26069	15	2
26073	54	7
26075	289	12
26077	212	11
26079	17	2
26081	757	25
26085	2	0
26087	154	23
26089	8	0
26091	77	0
26093	308	11
26095	1	0
26097	5	0
26099	4628	473
26101	11	0
26103	35	6
26105	5	0
26107	14	1
26109	1	0
26111	48	3
26113	12	1
26115	247	10
26117	26	1
26119	6	0
26121	173	11
26123	12	0
26125	6463	529
26127	4	1
26129	6	0
26131	1	0
26133	8	0
26135	5	1
26137	78	6
26139	149	7
26141	6	0
26143	11	0
26145	474	35
26151	33	3
26153	3	0
26155	123	3
26147	271	16
26149	27	1
26157	71	12
26159	36	2
26161	912	40
26163	14561	1319
26165	7	1
