region,lat,lon
Clinton,42.9436,-84.6015
Eaton,42.5961,-84.8384
Gratiot,43.2927,-84.6048
Hillsdale,41.8878,-84.593
Ingham,42.5971,-84.3736
Jackson,42.2485,-84.4233
Lenawee,41.8951,-84.0664
Livingston,42.603,-83.9115
Shiawassee,42.9537,-84.1467
Monroe,41.9292,-83.5373
Washtenaw,42.2534,-83.8384
Wayne,42.284,-83.2865
Macomb,42.6956,-82.9322
Oakland,42.6604,-83.3855
St. Clair,42.9425,-82.6823
Saginaw,43.335,-84.0532
Alcona,44.6854,-83.5938
Iosco,44.3559,-83.636
Ogemaw,44.3349,-84.1266
Arenac,44.0656,-83.8948
Gladwin,43.9906,-84.3882
Midland,43.6468,-84.3879
Bay,43.7072,-83.9921
Genesee,43.0217,-83.7067
Tuscola,43.4641,-83.4168
Lapeer,43.0901,-83.2218
Sanilac,43.4235,-82.8201
Huron,43.8333,-83.0193
Allegan,42.5913,-85.8884
Barry,42.595,-85.309
Calhoun,42.2466,-85.0055
Branch,41.9161,-85.059
St. Joseph,41.9145,-85.5278
Cass,41.9153,-85.9936
Berrien,41.9546,-86.4123
Van Buren,42.2513,-86.0189
Kalamazoo,42.2454,-85.5311
Clare,43.9879,-84.8478
Ionia,42.9451,-85.0746
Isabella,43.6406,-84.8467
Kent,43.0322,-85.5492
Lake,43.99,-85.8017
Mason,43.9392,-86.4421
Mecosta,43.6409,-85.3245
Montcalm,43.311,-85.1524
Muskegon,43.2922,-86.3219
Newaygo,43.5542,-85.8009
Oceana,43.7692,-86.4212
Osceola,43.9899,-85.3252
Ottawa,42.9601,-85.9939
Manistee,44.3332,-86.0571
Wexford,44.3384,-85.5785
Missaukee,44.3373,-85.0947
Roscommon,44.3356,-84.6116
Benzie,44.6395,-86.0158
Leelanau,44.9366,-85.8123
Grand Traverse,44.6709,-85.559
Kalkaska,44.6846,-85.0902
Crawford,44.6836,-84.6103
Oscoda,44.6817,-84.1297
Antrim,45.0003,-85.1377
Otsego,45.0214,-84.5988
Montmorency,45.0276,-84.1273
Alpena,45.0348,-83.6277
Presque Isle,45.3402,-83.9173
Cheboygan,45.4468,-84.4999
Emmet,45.5205,-84.8905
Charlevoix,45.302,-85.1283
Chippewa,46.3031,-84.5921
Mackinac,46.0812,-85.0921
Luce,46.4707,-85.5443
Schoolcraft,46.1967,-86.1995
Delta,45.9197,-86.9244
Alger,46.4099,-86.6018
Marquette,46.4314,-87.6415
Dickinson,46.0091,-87.8704
Menominee,45.5792,-87.5573
Baraga,46.6626,-88.3652
Iron,46.2087,-88.5305
Gogebic,46.4089,-89.6944
Ontonagon,46.6644,-89.315
Houghton,46.8934,-88.6918
Keweenaw,47.6104,-88.4287
