Date,Region 1,Region 2 North,Region 2 South,Region 3,Region 5,Region 6,Region 7,Region 8,Unknown,Grand Total
1-Mar,,3,5,3,,1,,,,12
2-Mar,1,1,7,,,1,,,,10
3-Mar,1,10,3,3,,,1,,,18
4-Mar,2,10,7,,,3,,,,22
5-Mar,1,8,14,1,,1,,,,25
6-Mar,,10,18,2,1,3,,,,34
7-Mar,,20,16,2,1,1,1,,,41
8-Mar,2,18,26,4,,3,,,,53
9-Mar,4,46,50,8,,3,,,,111
10-Mar,7,41,73,7,2,3,,,1,134
11-Mar,9,71,80,4,1,3,2,1,,171
12-Mar,11,97,113,9,6,2,4,,,242
13-Mar,16,129,122,21,7,7,2,,,304
14-Mar,19,121,144,14,5,3,4,,,310
15-Mar,15,164,170,24,4,9,5,1,1,393
16-Mar,40,203,264,39,12,8,4,,2,572
17-Mar,31,260,239,46,7,15,2,3,1,604
18-Mar,32,265,306,31,12,15,8,4,1,674
19-Mar,24,260,272,30,3,11,4,3,,607
20-Mar,31,299,371,56,12,14,8,5,2,798
21-Mar,16,253,308,47,12,10,8,1,,655
22-Mar,34,280,283,52,12,12,9,1,2,685
23-Mar,58,410,378,71,15,12,8,1,,953
24-Mar,43,322,386,66,17,14,7,3,,858
25-Mar,56,308,414,52,17,19,6,1,2,875
26-Mar,55,324,492,67,16,16,12,2,,984
27-Mar,62,367,640,71,35,19,10,1,3,1208
28-Mar,36,283,476,52,21,23,7,5,2,905
29-Mar,50,308,456,55,17,14,3,2,2,907
30-Mar,55,433,645,84,17,38,8,2,,1282
31-Mar,53,448,535,67,33,27,4,5,2,1174
1-Apr,80,449,594,79,37,29,5,1,,1274
2-Apr,56,414,573,67,27,24,8,,2,1171
3-Apr,60,424,631,71,29,32,8,1,3,1259
4-Apr,45,313,576,64,24,27,10,4,3,1066
5-Apr,36,377,540,66,23,33,1,2,,1078
6-Apr,64,354,688,94,37,43,7,3,1,1291
7-Apr,51,261,430,65,27,41,7,1,,883
8-Apr,48,329,385,80,32,39,6,3,3,925
9-Apr,43,289,409,63,30,38,7,5,3,887
10-Apr,66,354,379,77,37,42,11,3,5,974
11-Apr,42,202,227,62,32,38,5,,6,614
12-Apr,36,193,302,54,28,49,5,1,3,671
13-Apr,59,241,399,50,36,35,11,,3,834
14-Apr,37,215,237,45,28,37,13,,4,616
15-Apr,30,288,398,71,28,50,9,,20,894
16-Apr,46,173,286,57,26,41,14,,3,646
17-Apr,48,167,322,42,27,39,9,,4,658
18-Apr,27,69,124,23,18,36,27,1,5,330
19-Apr,21,116,242,34,11,21,,,5,450
20-Apr,43,143,316,32,24,27,,1,5,591
21-Apr,40,159,252,62,7,93,,1,14,628
Grand Total,1742,11302,15623,2246,853,1124,290,68,113,33361
